user_id,churn_probability,uplift_score,segment,clv_proxy,scored_at
CUST_00022,0.5184,0.1384,Sure_Thing,10.07,2026-03-13T14:20:52.675269
CUST_00023,0.1146,0.038,Sure_Thing,3445.69,2026-03-13T14:20:52.675269
CUST_00024,0.2642,-0.0169,Sure_Thing,2910.89,2026-03-13T14:20:52.675269
CUST_00025,0.2829,0.0203,Sure_Thing,1481.23,2026-03-13T14:20:52.675269
CUST_00026,0.6097,0.0239,Lost_Cause,4650.21,2026-03-13T14:20:52.675269
CUST_00027,0.606,0.2668,Persuadable,15.1,2026-03-13T14:20:52.675269
CUST_00028,0.1146,-0.0164,Sure_Thing,6282.2,2026-03-13T14:20:52.675269
CUST_00029,0.4452,0.5438,Sure_Thing,1032.37,2026-03-13T14:20:52.675269
CUST_00030,0.1177,0.1193,Sure_Thing,6672.96,2026-03-13T14:20:52.675269
CUST_00031,0.7188,0.5714,Persuadable,121.1,2026-03-13T14:20:52.675269
CUST_00032,0.1547,-0.0188,Sure_Thing,1807.51,2026-03-13T14:20:52.675269
CUST_00033,0.527,0.3726,Persuadable,10.1,2026-03-13T14:20:52.675269
CUST_00034,0.6429,-0.0045,Lost_Cause,22.62,2026-03-13T14:20:52.675269
CUST_00035,0.1196,0.3482,Sure_Thing,7152.36,2026-03-13T14:20:52.675269
CUST_00036,0.6658,0.6116,Persuadable,264.08,2026-03-13T14:20:52.675269
CUST_00037,0.4473,-0.4406,Sleeping_Dog,3472.8,2026-03-13T14:20:52.675269
CUST_00038,0.5966,0.1296,Sure_Thing,3447.84,2026-03-13T14:20:52.675269
CUST_00039,0.7064,0.1169,Lost_Cause,1013.28,2026-03-13T14:20:52.675269
CUST_00040,0.1939,-0.2811,Sleeping_Dog,432.45,2026-03-13T14:20:52.675269
CUST_00041,0.1136,-0.0433,Sure_Thing,4803.73,2026-03-13T14:20:52.675269
CUST_00042,0.1532,-0.0863,Sure_Thing,395.01,2026-03-13T14:20:52.675269
CUST_00043,0.1146,0.1677,Sure_Thing,4785.49,2026-03-13T14:20:52.675269
CUST_00044,0.3126,0.8029,Sure_Thing,911.35,2026-03-13T14:20:52.675269
CUST_00045,0.5782,-0.2798,Sleeping_Dog,3828.57,2026-03-13T14:20:52.675269
CUST_00046,0.5869,-0.4448,Sleeping_Dog,64.67,2026-03-13T14:20:52.675269
CUST_00047,0.7051,0.2122,Lost_Cause,96.1,2026-03-13T14:20:52.675269
CUST_00048,0.1095,-0.0447,Sure_Thing,4138.22,2026-03-13T14:20:52.675269
CUST_00049,0.1136,0.2605,Sure_Thing,4193.33,2026-03-13T14:20:52.675269
CUST_00050,0.5815,0.1487,Sure_Thing,3751.51,2026-03-13T14:20:52.675269
CUST_00051,0.6395,0.6981,Persuadable,1337.25,2026-03-13T14:20:52.675269
CUST_00052,0.1791,0.4335,Sure_Thing,1685.24,2026-03-13T14:20:52.675269
CUST_00053,0.6954,0.2683,Persuadable,562.93,2026-03-13T14:20:52.675269
CUST_00054,0.171,0.1839,Sure_Thing,4383.3,2026-03-13T14:20:52.675269
CUST_00055,0.6597,-0.0749,Lost_Cause,1660.31,2026-03-13T14:20:52.675269
CUST_00056,0.3424,0.5213,Sure_Thing,6212.59,2026-03-13T14:20:52.675269
CUST_00057,0.3399,0.5011,Sure_Thing,6970.73,2026-03-13T14:20:52.675269
CUST_00058,0.1102,-0.1943,Sleeping_Dog,868.75,2026-03-13T14:20:52.675269
CUST_00059,0.1146,0.426,Sure_Thing,7746.12,2026-03-13T14:20:52.675269
CUST_00060,0.6395,0.0713,Lost_Cause,4609.04,2026-03-13T14:20:52.675269
CUST_00061,0.3919,0.4255,Sure_Thing,5361.34,2026-03-13T14:20:52.675269
CUST_00062,0.1187,-0.0485,Sure_Thing,2921.42,2026-03-13T14:20:52.675269
CUST_00063,0.2298,-0.1174,Sleeping_Dog,906.73,2026-03-13T14:20:52.675269
CUST_00064,0.6776,0.2506,Persuadable,771.52,2026-03-13T14:20:52.675269
CUST_00065,0.5247,0.5808,Persuadable,183.08,2026-03-13T14:20:52.675269
CUST_00066,0.2089,-0.292,Sleeping_Dog,3574.3,2026-03-13T14:20:52.675269
CUST_00067,0.1172,0.1498,Sure_Thing,2419.16,2026-03-13T14:20:52.675269
CUST_00068,0.1058,-0.1109,Sleeping_Dog,912.65,2026-03-13T14:20:52.675269
CUST_00069,0.6518,0.0569,Lost_Cause,806.68,2026-03-13T14:20:52.675269
CUST_00070,0.5668,-0.3003,Sleeping_Dog,24.52,2026-03-13T14:20:52.675269
CUST_00071,0.1378,-0.2167,Sleeping_Dog,1070.07,2026-03-13T14:20:52.675269
CUST_00072,0.2612,0.6603,Sure_Thing,6989.78,2026-03-13T14:20:52.675269
CUST_00073,0.1058,-0.1558,Sleeping_Dog,1401.99,2026-03-13T14:20:52.675269
CUST_00074,0.4167,0.5956,Sure_Thing,133.05,2026-03-13T14:20:52.675269
CUST_00075,0.4879,0.6005,Sure_Thing,6031.79,2026-03-13T14:20:52.675269
CUST_00076,0.2191,-0.1356,Sleeping_Dog,2631.64,2026-03-13T14:20:52.675269
CUST_00077,0.3573,-0.191,Sleeping_Dog,428.67,2026-03-13T14:20:52.675269
CUST_00078,0.3269,0.1035,Sure_Thing,2043.19,2026-03-13T14:20:52.675269
CUST_00079,0.1369,-0.6153,Sleeping_Dog,1190.15,2026-03-13T14:20:52.675269
CUST_00080,0.73,0.4833,Persuadable,39.67,2026-03-13T14:20:52.675269
CUST_00081,0.4478,-0.2563,Sleeping_Dog,518.24,2026-03-13T14:20:52.675269
CUST_00082,0.6551,0.4693,Persuadable,434.79,2026-03-13T14:20:52.675269
CUST_00083,0.4499,0.3152,Sure_Thing,4226.86,2026-03-13T14:20:52.675269
CUST_00084,0.1058,-0.4326,Sleeping_Dog,953.88,2026-03-13T14:20:52.675269
CUST_00085,0.7064,0.2608,Persuadable,826.88,2026-03-13T14:20:52.675269
CUST_00086,0.1844,-0.6571,Sleeping_Dog,2153.91,2026-03-13T14:20:52.675269
CUST_00087,0.1058,-0.1758,Sleeping_Dog,1035.43,2026-03-13T14:20:52.675269
CUST_00088,0.1058,-0.1105,Sleeping_Dog,907.37,2026-03-13T14:20:52.675269
CUST_00089,0.4354,-0.3251,Sleeping_Dog,975.61,2026-03-13T14:20:52.675269
CUST_00090,0.4351,-0.1907,Sleeping_Dog,2487.29,2026-03-13T14:20:52.675269
CUST_00091,0.7234,0.5779,Persuadable,37.35,2026-03-13T14:20:52.675269
CUST_00092,0.1146,0.0079,Sure_Thing,5628.96,2026-03-13T14:20:52.675269
CUST_00093,0.3241,0.6979,Sure_Thing,6999.32,2026-03-13T14:20:52.675269
CUST_00094,0.1313,0.4757,Sure_Thing,7356.87,2026-03-13T14:20:52.675269
CUST_00095,0.6245,0.3377,Persuadable,856.02,2026-03-13T14:20:52.675269
CUST_00096,0.1337,-0.2093,Sleeping_Dog,4682.75,2026-03-13T14:20:52.675269
CUST_00097,0.2514,-0.1035,Sleeping_Dog,94.88,2026-03-13T14:20:52.675269
CUST_00098,0.1058,-0.0534,Sure_Thing,1086.31,2026-03-13T14:20:52.675269
CUST_00099,0.6184,0.5387,Persuadable,2417.79,2026-03-13T14:20:52.675269
CUST_00100,0.5184,0.1384,Sure_Thing,10.1,2026-03-13T14:20:52.675269
CUST_00101,0.4945,0.2668,Sure_Thing,9.72,2026-03-13T14:20:52.675269
CUST_00102,0.1993,-0.0619,Sure_Thing,3513.15,2026-03-13T14:20:52.675269
CUST_00103,0.1664,-0.4465,Sleeping_Dog,2982.07,2026-03-13T14:20:52.675269
CUST_00104,0.3169,0.5429,Sure_Thing,7501.53,2026-03-13T14:20:52.675269
CUST_00105,0.4533,-0.0733,Sure_Thing,83.5,2026-03-13T14:20:52.675269
CUST_00106,0.2192,0.4171,Sure_Thing,7203.01,2026-03-13T14:20:52.675269
CUST_00107,0.1161,-0.2513,Sleeping_Dog,899.54,2026-03-13T14:20:52.675269
CUST_00108,0.2972,0.3014,Sure_Thing,3832.18,2026-03-13T14:20:52.675269
CUST_00109,0.1058,-0.093,Sure_Thing,1344.58,2026-03-13T14:20:52.675269
CUST_00110,0.5083,0.1405,Sure_Thing,5145.35,2026-03-13T14:20:52.675269
CUST_00111,0.1787,-0.2797,Sleeping_Dog,2984.85,2026-03-13T14:20:52.675269
CUST_00112,0.4424,0.2884,Sure_Thing,3864.23,2026-03-13T14:20:52.675269
CUST_00113,0.6199,0.2921,Persuadable,2792.67,2026-03-13T14:20:52.675269
CUST_00114,0.1412,0.2865,Sure_Thing,3370.83,2026-03-13T14:20:52.675269
CUST_00115,0.6661,0.5079,Persuadable,186.3,2026-03-13T14:20:52.675269
CUST_00116,0.1102,-0.0207,Sure_Thing,1095.91,2026-03-13T14:20:52.675269
CUST_00117,0.6979,0.2321,Persuadable,967.86,2026-03-13T14:20:52.675269
CUST_00118,0.1058,-0.5178,Sleeping_Dog,815.27,2026-03-13T14:20:52.675269
CUST_00119,0.4228,-0.1814,Sleeping_Dog,2074.76,2026-03-13T14:20:52.675269
CUST_00120,0.3745,0.545,Sure_Thing,5418.69,2026-03-13T14:20:52.675269
CUST_00121,0.22,-0.0954,Sure_Thing,96.64,2026-03-13T14:20:52.675269
CUST_00122,0.6823,-0.0564,Lost_Cause,172.16,2026-03-13T14:20:52.675269
CUST_00123,0.3594,-0.4076,Sleeping_Dog,306.56,2026-03-13T14:20:52.675269
CUST_00124,0.2823,0.208,Sure_Thing,50.32,2026-03-13T14:20:52.675269
CUST_00125,0.1658,0.1296,Sure_Thing,2938.6,2026-03-13T14:20:52.675269
CUST_00126,0.6187,-0.3144,Sleeping_Dog,2059.23,2026-03-13T14:20:52.675269
CUST_00127,0.1058,-0.3096,Sleeping_Dog,1700.33,2026-03-13T14:20:52.675269
CUST_00128,0.4945,0.1384,Sure_Thing,9.88,2026-03-13T14:20:52.675269
CUST_00129,0.3013,-0.0473,Sure_Thing,3930.0,2026-03-13T14:20:52.675269
CUST_00130,0.661,0.4667,Persuadable,1128.82,2026-03-13T14:20:52.675269
CUST_00131,0.4601,0.2091,Sure_Thing,1444.86,2026-03-13T14:20:52.675269
CUST_00132,0.1187,-0.1475,Sleeping_Dog,3212.16,2026-03-13T14:20:52.675269
CUST_00133,0.6398,-0.2382,Sleeping_Dog,17.73,2026-03-13T14:20:52.675269
CUST_00134,0.5869,0.1143,Sure_Thing,54.17,2026-03-13T14:20:52.675269
CUST_00135,0.1102,-0.4485,Sleeping_Dog,1161.2,2026-03-13T14:20:52.675269
CUST_00136,0.3959,-0.3607,Sleeping_Dog,1704.4,2026-03-13T14:20:52.675269
CUST_00137,0.1058,-0.1062,Sleeping_Dog,1258.09,2026-03-13T14:20:52.675269
CUST_00138,0.1058,-0.1888,Sleeping_Dog,1150.37,2026-03-13T14:20:52.675269
CUST_00139,0.7271,0.7354,Persuadable,35.22,2026-03-13T14:20:52.675269
CUST_00140,0.1146,0.0623,Sure_Thing,6337.63,2026-03-13T14:20:52.675269
CUST_00141,0.4983,0.5152,Sure_Thing,501.02,2026-03-13T14:20:52.675269
CUST_00142,0.2217,0.538,Sure_Thing,5874.94,2026-03-13T14:20:52.675269
CUST_00143,0.1405,0.2234,Sure_Thing,5207.68,2026-03-13T14:20:52.675269
CUST_00144,0.1058,-0.1714,Sleeping_Dog,1731.81,2026-03-13T14:20:52.675269
CUST_00145,0.1619,0.2518,Sure_Thing,6319.48,2026-03-13T14:20:52.675269
CUST_00146,0.1234,0.0852,Sure_Thing,46.01,2026-03-13T14:20:52.675269
CUST_00147,0.6312,-0.0926,Lost_Cause,22.82,2026-03-13T14:20:52.675269
CUST_00148,0.2064,0.1005,Sure_Thing,1867.69,2026-03-13T14:20:52.675269
CUST_00149,0.2933,0.5523,Sure_Thing,1004.44,2026-03-13T14:20:52.675269
CUST_00150,0.4699,0.6529,Sure_Thing,501.64,2026-03-13T14:20:52.675269
CUST_00151,0.7097,0.2251,Lost_Cause,573.56,2026-03-13T14:20:52.675269
CUST_00152,0.314,0.4682,Sure_Thing,7818.85,2026-03-13T14:20:52.675269
CUST_00153,0.125,0.4074,Sure_Thing,5132.47,2026-03-13T14:20:52.675269
CUST_00154,0.2326,-0.0364,Sure_Thing,97.29,2026-03-13T14:20:52.675269
CUST_00155,0.5932,0.6144,Persuadable,1075.95,2026-03-13T14:20:52.675269
CUST_00156,0.4598,-0.5108,Sleeping_Dog,1742.73,2026-03-13T14:20:52.675269
CUST_00157,0.109,-0.1322,Sleeping_Dog,401.64,2026-03-13T14:20:52.675269
CUST_00158,0.111,0.0816,Sure_Thing,963.76,2026-03-13T14:20:52.675269
CUST_00159,0.1042,0.2206,Sure_Thing,228.73,2026-03-13T14:20:52.675269
CUST_00160,0.4039,-0.2386,Sleeping_Dog,709.94,2026-03-13T14:20:52.675269
CUST_00161,0.5374,0.3791,Persuadable,1516.52,2026-03-13T14:20:52.675269
CUST_00162,0.6658,0.607,Persuadable,90.13,2026-03-13T14:20:52.675269
CUST_00163,0.1146,-0.0295,Sure_Thing,3884.95,2026-03-13T14:20:52.675269
CUST_00164,0.1087,0.0439,Sure_Thing,214.41,2026-03-13T14:20:52.675269
CUST_00165,0.1058,-0.2416,Sleeping_Dog,1343.97,2026-03-13T14:20:52.675269
CUST_00166,0.6725,0.5458,Persuadable,218.4,2026-03-13T14:20:52.675269
CUST_00167,0.1146,-0.0049,Sure_Thing,6168.77,2026-03-13T14:20:52.675269
CUST_00168,0.4796,-0.3653,Sleeping_Dog,2606.26,2026-03-13T14:20:52.675269
CUST_00169,0.3243,-0.1314,Sleeping_Dog,302.49,2026-03-13T14:20:52.675269
CUST_00170,0.1621,-0.3086,Sleeping_Dog,3458.81,2026-03-13T14:20:52.675269
CUST_00171,0.7234,0.703,Persuadable,161.87,2026-03-13T14:20:52.675269
CUST_00172,0.1285,0.8123,Sure_Thing,1102.97,2026-03-13T14:20:52.675269
CUST_00173,0.4035,-0.2789,Sleeping_Dog,4907.6,2026-03-13T14:20:52.675269
CUST_00174,0.109,0.026,Sure_Thing,634.72,2026-03-13T14:20:52.675269
CUST_00175,0.214,-0.4456,Sleeping_Dog,757.91,2026-03-13T14:20:52.675269
CUST_00176,0.5746,0.5746,Persuadable,1074.09,2026-03-13T14:20:52.675269
CUST_00177,0.6228,0.0598,Lost_Cause,440.65,2026-03-13T14:20:52.675269
CUST_00178,0.6368,0.7722,Persuadable,1461.8,2026-03-13T14:20:52.675269
CUST_00179,0.1079,-0.172,Sleeping_Dog,1231.81,2026-03-13T14:20:52.675269
CUST_00180,0.6142,0.3726,Persuadable,14.98,2026-03-13T14:20:52.675269
CUST_00181,0.5971,-0.2327,Sleeping_Dog,22.65,2026-03-13T14:20:52.675269
CUST_00182,0.6731,0.0253,Lost_Cause,589.02,2026-03-13T14:20:52.675269
CUST_00183,0.2303,0.1212,Sure_Thing,2381.14,2026-03-13T14:20:52.675269
CUST_00184,0.6122,0.5752,Persuadable,1032.25,2026-03-13T14:20:52.675269
CUST_00185,0.63,0.4746,Persuadable,12.4,2026-03-13T14:20:52.675269
CUST_00186,0.3546,-0.3773,Sleeping_Dog,975.1,2026-03-13T14:20:52.675269
CUST_00187,0.4874,0.0578,Sure_Thing,61.61,2026-03-13T14:20:52.675269
CUST_00188,0.1168,-0.0092,Sure_Thing,227.31,2026-03-13T14:20:52.675269
CUST_00189,0.3259,0.2207,Sure_Thing,2321.07,2026-03-13T14:20:52.675269
CUST_00190,0.1681,0.1402,Sure_Thing,3101.23,2026-03-13T14:20:52.675269
CUST_00191,0.7038,0.4911,Persuadable,455.14,2026-03-13T14:20:52.675269
CUST_00192,0.1058,-0.0577,Sure_Thing,1355.75,2026-03-13T14:20:52.675269
CUST_00193,0.1032,0.424,Sure_Thing,8017.94,2026-03-13T14:20:52.675269
CUST_00194,0.1058,-0.2597,Sleeping_Dog,1172.82,2026-03-13T14:20:52.675269
CUST_00195,0.6283,0.076,Lost_Cause,1811.1,2026-03-13T14:20:52.675269
CUST_00196,0.1088,-0.0706,Sure_Thing,563.9,2026-03-13T14:20:52.675269
CUST_00197,0.4503,0.5515,Sure_Thing,6411.09,2026-03-13T14:20:52.675269
CUST_00198,0.0889,0.518,Sure_Thing,7931.49,2026-03-13T14:20:52.675269
CUST_00199,0.5184,0.1384,Sure_Thing,10.38,2026-03-13T14:20:52.675269
CUST_00200,0.377,0.042,Sure_Thing,2585.39,2026-03-13T14:20:52.675269
CUST_00201,0.4849,0.57,Sure_Thing,1038.15,2026-03-13T14:20:52.675269
CUST_00202,0.2058,0.4928,Sure_Thing,7302.65,2026-03-13T14:20:52.675269
CUST_00203,0.5178,0.6858,Persuadable,960.1,2026-03-13T14:20:52.675269
CUST_00204,0.4741,-0.0328,Sure_Thing,2893.2,2026-03-13T14:20:52.675269
CUST_00205,0.1762,-0.4447,Sleeping_Dog,2605.88,2026-03-13T14:20:52.675269
CUST_00206,0.1116,0.1728,Sure_Thing,4121.95,2026-03-13T14:20:52.675269
CUST_00207,0.7263,0.3949,Persuadable,39.95,2026-03-13T14:20:52.675269
CUST_00208,0.6072,0.4955,Persuadable,1837.73,2026-03-13T14:20:52.675269
CUST_00209,0.3683,0.6244,Sure_Thing,6551.73,2026-03-13T14:20:52.675269
CUST_00210,0.6213,-0.2055,Sleeping_Dog,56.33,2026-03-13T14:20:52.675269
CUST_00211,0.5959,0.1384,Sure_Thing,12.62,2026-03-13T14:20:52.675269
CUST_00212,0.1058,-0.1843,Sleeping_Dog,1106.07,2026-03-13T14:20:52.675269
CUST_00213,0.1281,0.0232,Sure_Thing,522.05,2026-03-13T14:20:52.675269
CUST_00214,0.5527,-0.0216,Sure_Thing,1893.52,2026-03-13T14:20:52.675269
CUST_00215,0.4069,0.074,Sure_Thing,3378.18,2026-03-13T14:20:52.675269
CUST_00216,0.1187,0.0409,Sure_Thing,3096.79,2026-03-13T14:20:52.675269
CUST_00217,0.1116,0.1674,Sure_Thing,3732.64,2026-03-13T14:20:52.675269
CUST_00218,0.1146,0.0554,Sure_Thing,5243.83,2026-03-13T14:20:52.675269
CUST_00219,0.674,0.1598,Lost_Cause,555.2,2026-03-13T14:20:52.675269
CUST_00220,0.6658,0.5521,Persuadable,214.68,2026-03-13T14:20:52.675269
CUST_00221,0.1102,-0.2171,Sleeping_Dog,1811.39,2026-03-13T14:20:52.675269
CUST_00222,0.1498,0.4718,Sure_Thing,10.1,2026-03-13T14:20:52.675269
CUST_00223,0.5128,-0.5687,Sleeping_Dog,143.48,2026-03-13T14:20:52.675269
CUST_00224,0.1133,-0.0185,Sure_Thing,202.48,2026-03-13T14:20:52.675269
CUST_00225,0.2502,-0.2921,Sleeping_Dog,1237.2,2026-03-13T14:20:52.675269
CUST_00226,0.3023,0.0704,Sure_Thing,2466.2,2026-03-13T14:20:52.675269
CUST_00227,0.5971,0.2958,Persuadable,27.6,2026-03-13T14:20:52.675269
CUST_00228,0.4899,-0.1446,Sleeping_Dog,2635.31,2026-03-13T14:20:52.675269
CUST_00229,0.1018,-0.1076,Sleeping_Dog,4021.68,2026-03-13T14:20:52.675269
CUST_00230,0.399,0.0111,Sure_Thing,5655.91,2026-03-13T14:20:52.675269
CUST_00231,0.2719,-0.5234,Sleeping_Dog,4654.41,2026-03-13T14:20:52.675269
CUST_00232,0.7222,0.2375,Persuadable,42.3,2026-03-13T14:20:52.675269
CUST_00233,0.1058,-0.1919,Sleeping_Dog,1545.44,2026-03-13T14:20:52.675269
CUST_00234,0.2032,-0.1033,Sleeping_Dog,678.6,2026-03-13T14:20:52.675269
CUST_00235,0.6213,-0.3448,Sleeping_Dog,76.07,2026-03-13T14:20:52.675269
CUST_00236,0.1162,-0.0195,Sure_Thing,271.86,2026-03-13T14:20:52.675269
CUST_00237,0.5745,0.5161,Persuadable,1237.22,2026-03-13T14:20:52.675269
CUST_00238,0.6937,-0.1157,Sleeping_Dog,1026.94,2026-03-13T14:20:52.675269
CUST_00239,0.112,-0.0867,Sure_Thing,267.62,2026-03-13T14:20:52.675269
CUST_00240,0.1146,-0.0531,Sure_Thing,6263.51,2026-03-13T14:20:52.675269
CUST_00241,0.0937,0.3799,Sure_Thing,7770.38,2026-03-13T14:20:52.675269
CUST_00242,0.2138,0.1134,Sure_Thing,3111.75,2026-03-13T14:20:52.675269
CUST_00243,0.3209,0.3494,Sure_Thing,6033.33,2026-03-13T14:20:52.675269
CUST_00244,0.4214,-0.5475,Sleeping_Dog,679.06,2026-03-13T14:20:52.675269
CUST_00245,0.6248,0.1981,Lost_Cause,218.72,2026-03-13T14:20:52.675269
CUST_00246,0.2584,0.0568,Sure_Thing,2471.52,2026-03-13T14:20:52.675269
CUST_00247,0.6142,0.6442,Persuadable,1007.16,2026-03-13T14:20:52.675269
CUST_00248,0.6178,-0.0928,Lost_Cause,24.28,2026-03-13T14:20:52.675269
CUST_00249,0.3612,0.2956,Sure_Thing,4198.49,2026-03-13T14:20:52.675269
CUST_00250,0.3646,-0.0772,Sure_Thing,4530.71,2026-03-13T14:20:52.675269
CUST_00251,0.6617,0.2356,Persuadable,98.1,2026-03-13T14:20:52.675269
CUST_00252,0.6435,0.4204,Persuadable,20.1,2026-03-13T14:20:52.675269
CUST_00253,0.2886,0.1833,Sure_Thing,2553.5,2026-03-13T14:20:52.675269
CUST_00254,0.2703,-0.0446,Sure_Thing,175.5,2026-03-13T14:20:52.675269
CUST_00255,0.1651,0.0153,Sure_Thing,4043.55,2026-03-13T14:20:52.675269
CUST_00256,0.2538,0.5252,Sure_Thing,6895.12,2026-03-13T14:20:52.675269
CUST_00257,0.3727,-0.126,Sleeping_Dog,5677.55,2026-03-13T14:20:52.675269
CUST_00258,0.6213,0.1537,Lost_Cause,53.7,2026-03-13T14:20:52.675269
CUST_00259,0.4311,0.1792,Sure_Thing,1187.7,2026-03-13T14:20:52.675269
CUST_00260,0.6649,-0.0684,Lost_Cause,99.15,2026-03-13T14:20:52.675269
CUST_00261,0.7057,0.5842,Persuadable,1266.85,2026-03-13T14:20:52.675269
CUST_00262,0.4948,-0.0849,Sure_Thing,4840.43,2026-03-13T14:20:52.675269
CUST_00263,0.1038,0.354,Sure_Thing,1472.6,2026-03-13T14:20:52.675269
CUST_00264,0.3642,0.124,Sure_Thing,4922.85,2026-03-13T14:20:52.675269
CUST_00265,0.1146,0.2225,Sure_Thing,5437.61,2026-03-13T14:20:52.675269
CUST_00266,0.1102,-0.1772,Sleeping_Dog,1171.81,2026-03-13T14:20:52.675269
CUST_00267,0.6033,0.4585,Persuadable,1906.89,2026-03-13T14:20:52.675269
CUST_00268,0.1058,-0.2748,Sleeping_Dog,1081.27,2026-03-13T14:20:52.675269
CUST_00269,0.1058,-0.3096,Sleeping_Dog,1708.88,2026-03-13T14:20:52.675269
CUST_00270,0.636,0.3679,Persuadable,1422.31,2026-03-13T14:20:52.675269
CUST_00271,0.1179,-0.016,Sure_Thing,3390.66,2026-03-13T14:20:52.675269
CUST_00272,0.6041,0.3726,Persuadable,12.4,2026-03-13T14:20:52.675269
CUST_00273,0.6062,0.6107,Persuadable,2068.62,2026-03-13T14:20:52.675269
CUST_00274,0.7234,0.5984,Persuadable,35.3,2026-03-13T14:20:52.675269
CUST_00275,0.7093,-0.0292,Lost_Cause,334.25,2026-03-13T14:20:52.675269
CUST_00276,0.6149,0.1787,Lost_Cause,5518.72,2026-03-13T14:20:52.675269
CUST_00277,0.3844,0.1733,Sure_Thing,1278.9,2026-03-13T14:20:52.675269
CUST_00278,0.5481,0.0156,Sure_Thing,720.49,2026-03-13T14:20:52.675269
CUST_00279,0.417,-0.5893,Sleeping_Dog,203.96,2026-03-13T14:20:52.675269
CUST_00280,0.3984,-0.3438,Sleeping_Dog,276.77,2026-03-13T14:20:52.675269
CUST_00281,0.4257,-0.4674,Sleeping_Dog,452.95,2026-03-13T14:20:52.675269
CUST_00282,0.5608,0.1244,Sure_Thing,12.7,2026-03-13T14:20:52.675269
CUST_00283,0.2175,-0.0735,Sure_Thing,3634.3,2026-03-13T14:20:52.675269
CUST_00284,0.59,0.211,Sure_Thing,1686.27,2026-03-13T14:20:52.675269
CUST_00285,0.1749,-0.2905,Sleeping_Dog,1706.05,2026-03-13T14:20:52.675269
CUST_00286,0.4404,-0.137,Sleeping_Dog,883.0,2026-03-13T14:20:52.675269
CUST_00287,0.7234,0.7322,Persuadable,35.0,2026-03-13T14:20:52.675269
CUST_00288,0.6603,0.0074,Lost_Cause,539.16,2026-03-13T14:20:52.675269
CUST_00289,0.4673,-0.4259,Sleeping_Dog,395.82,2026-03-13T14:20:52.675269
CUST_00290,0.5991,-0.2594,Sleeping_Dog,1644.19,2026-03-13T14:20:52.675269
CUST_00291,0.1467,-0.1244,Sleeping_Dog,1965.06,2026-03-13T14:20:52.675269
CUST_00292,0.1636,0.3399,Sure_Thing,1859.93,2026-03-13T14:20:52.675269
CUST_00293,0.7051,-0.243,Sleeping_Dog,486.69,2026-03-13T14:20:52.675269
CUST_00294,0.2585,-0.2379,Sleeping_Dog,203.4,2026-03-13T14:20:52.675269
CUST_00295,0.5184,0.1384,Sure_Thing,10.12,2026-03-13T14:20:52.675269
CUST_00296,0.1485,-0.2699,Sleeping_Dog,5360.94,2026-03-13T14:20:52.675269
CUST_00297,0.6301,0.2928,Persuadable,3342.01,2026-03-13T14:20:52.675269
CUST_00298,0.3254,0.3682,Sure_Thing,2942.2,2026-03-13T14:20:52.675269
CUST_00299,0.7222,0.6527,Persuadable,36.8,2026-03-13T14:20:52.675269
CUST_00300,0.3423,-0.226,Sleeping_Dog,1446.89,2026-03-13T14:20:52.675269
CUST_00301,0.7135,0.0788,Lost_Cause,316.88,2026-03-13T14:20:52.675269
