SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn_binary,Contract_encoded,InternetService_encoded,PaymentMethod_encoded,recency_risk,service_count,monetary_value,monthly_to_total_ratio,charge_per_month,clv_proxy,is_high_value,contract_stability,digital_engagement
0,1,0,35,1,0,1,0,0,0,1,0,1,62.15,2215.45,0,1,1,2,0.027777777777777776,3,2215.45,0.028040334769563944,1.7263888888888888,2153.909722222222,0,35,2
0,1,1,48,1,0,0,0,0,0,0,0,0,20.65,1057.0,0,2,0,2,0.02040816326530612,1,1057.0,0.0195179584120983,0.4214285714285714,1035.4285714285713,0,96,1
0,1,1,46,1,0,0,0,0,0,0,0,1,19.95,927.1,0,2,0,1,0.02127659574468085,1,927.1,0.02149552849908415,0.42446808510638295,907.3744680851064,0,92,1
0,1,0,29,0,0,0,0,0,0,1,0,0,33.75,1009.25,0,0,1,1,0.03333333333333333,1,1009.25,0.0334075723830735,1.125,975.6083333333333,0,0,0
0,1,1,30,1,0,0,1,1,0,0,0,0,82.05,2570.2,0,0,2,2,0.03225806451612903,3,2570.2,0.031911169881767266,2.646774193548387,2487.290322580645,0,0,1
1,0,0,1,1,0,0,0,0,1,0,0,0,74.7,74.7,0,0,2,0,0.5,2,74.7,0.9867899603698811,37.35,37.35,0,0,0
0,1,1,66,1,1,1,0,1,1,1,1,1,84.0,5714.25,0,2,1,1,0.014925373134328358,7,5714.25,0.014697519793534841,1.2537313432835822,5628.962686567164,1,132,1
0,0,0,65,1,1,1,1,1,0,1,1,1,111.05,7107.0,0,0,2,3,0.015151515151515152,7,7107.0,0.015623241418120427,1.6825757575757576,6999.318181818182,1,0,2
0,0,0,72,1,1,0,1,1,0,1,1,1,100.9,7459.05,0,2,2,2,0.0136986301369863,6,7459.05,0.013525378516229784,1.382191780821918,7356.871232876712,1,144,2
0,0,0,12,1,1,1,0,0,0,0,0,1,78.95,927.35,1,0,2,0,0.07692307692307693,3,927.35,0.0850433564927021,6.073076923076924,856.0153846153847,0,0,1
0,1,1,71,1,1,1,1,0,1,0,0,1,66.85,4748.7,0,1,1,3,0.013888888888888888,5,4748.7,0.014074573130934584,0.9284722222222221,4682.745833333333,1,71,2
0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,1,0,0,1,0.16666666666666666,1,113.85,0.18328254244666958,3.5083333333333333,94.875,0,0,0
0,0,0,52,1,0,0,0,0,0,0,0,0,21.0,1107.2,0,2,0,2,0.018867924528301886,1,1107.2,0.018949648077964266,0.39622641509433965,1086.3094339622642,0,104,1
1,1,0,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,1,0,2,0,0.038461538461538464,5,2514.5,0.03915722520373683,3.7884615384615383,2417.7884615384614,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,1,0.5,1,20.2,0.9528301886792453,10.1,10.1,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0,0,0,0.5,1,19.45,0.9511002444987775,9.725,9.725,0,0,0
0,0,0,38,1,1,0,0,1,1,1,0,0,95.0,3605.6,0,1,2,2,0.02564102564102564,5,3605.6,0.026340597792935176,2.4358974358974357,3513.1487179487176,0,38,1
1,1,0,66,0,0,0,1,1,0,1,0,0,45.55,3027.25,0,1,1,2,0.014925373134328358,3,3027.25,0.015041690745480061,0.6798507462686567,2982.0671641791046,0,66,1
0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,1,2,2,2,0.014492753623188406,7,7611.85,0.014449253564696531,1.5942028985507246,7501.533333333334,1,136,2
0,0,0,5,0,0,0,0,0,0,0,0,0,24.3,100.2,0,0,1,1,0.16666666666666666,0,100.2,0.24011857707509882,4.05,83.5,0,0,0
0,1,1,72,1,1,1,1,0,0,1,1,1,104.15,7303.05,0,1,2,0,0.0136986301369863,6,7303.05,0.014259212354789467,1.4267123287671233,7203.008219178082,1,72,1
0,0,0,32,0,0,1,0,0,0,0,0,0,30.15,927.65,0,1,1,1,0.030303030303030304,1,927.65,0.0324664836052334,0.9136363636363636,899.5393939393939,0,32,0
0,0,0,43,1,1,0,0,0,0,1,1,0,94.35,3921.3,0,1,2,1,0.022727272727272728,4,3921.3,0.024054763786553805,2.1443181818181816,3832.179545454546,1,43,0
0,1,1,72,1,0,0,0,0,0,0,0,0,19.4,1363.25,0,2,0,3,0.0136986301369863,1,1363.25,0.014220267546270845,0.2657534246575342,1344.5753424657532,0,144,1
0,1,0,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,1,0,2,0,0.017857142857142856,5,5238.9,0.018464092826198975,1.7276785714285714,5145.348214285714,1,0,1
0,0,0,52,1,0,1,0,1,1,0,0,0,57.95,3042.25,0,1,1,3,0.018867924528301886,4,3042.25,0.019042142446397767,1.0933962264150945,2984.8490566037735,0,52,1
0,0,0,43,1,0,0,1,1,0,1,0,1,91.65,3954.1,0,0,2,0,0.022727272727272728,4,3954.1,0.02317261257616748,2.0829545454545455,3864.234090909091,1,0,1
1,1,0,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,1,0,2,0,0.02631578947368421,2,2868.15,0.026662948957008173,2.013157894736842,2792.672368421053,0,0,1
0,1,1,64,0,0,0,1,0,1,1,1,1,54.6,3423.5,0,2,1,0,0.015384615384615385,4,3423.5,0.015943933420937365,0.84,3370.8307692307694,0,128,1
0,1,1,3,1,0,1,1,0,0,1,0,0,89.85,248.4,0,0,2,0,0.25,4,248.4,0.3602646351242983,22.4625,186.3,0,0,0
0,0,0,36,0,0,1,0,0,0,0,0,0,31.05,1126.35,0,2,1,2,0.02702702702702703,1,1126.35,0.02754246684703065,0.8391891891891892,1095.908108108108,0,72,1
0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,0,2,0,0.09090909090909091,5,1064.65,0.09407403931872566,9.113636363636363,967.8636363636364,0,0,1
0,0,0,41,1,0,0,0,0,0,0,0,0,20.65,835.15,0,2,0,1,0.023809523809523808,1,835.15,0.0246965257429887,0.49166666666666664,815.2654761904762,0,82,0
0,1,1,27,1,1,0,1,0,1,0,0,1,85.2,2151.6,0,0,2,3,0.03571428571428571,4,2151.6,0.03958004273901329,3.042857142857143,2074.7571428571428,0,0,2
0,1,1,56,1,1,0,0,1,0,1,1,1,99.8,5515.45,0,1,2,3,0.017543859649122806,5,5515.45,0.01809134497729518,1.750877192982456,5418.687719298245,1,56,2
0,0,0,6,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,1,0.14285714285714285,1,112.75,0.18197802197802196,2.957142857142857,96.64285714285715,0,0,0
0,0,0,3,1,1,0,0,0,0,0,0,1,74.4,229.55,1,0,2,0,0.25,2,229.55,0.32270657124268054,18.6,172.16250000000002,0,0,1
0,1,1,7,1,0,1,0,0,0,0,0,0,50.7,350.35,0,0,1,1,0.125,2,350.35,0.14430055500213462,6.3375,306.55625000000003,0,0,0
0,1,1,4,1,0,0,0,0,0,0,0,0,20.85,62.9,0,0,0,1,0.2,1,62.9,0.3262910798122066,4.17,50.32,0,0,0
0,0,0,33,1,0,1,0,0,1,1,0,1,88.95,3027.65,0,2,2,0,0.029411764705882353,4,3027.65,0.029369521073745727,2.6161764705882353,2938.6014705882353,0,66,1
1,0,0,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,1,0,2,0,0.03571428571428571,3,2135.5,0.03653171074186754,2.7875,2059.232142857143,0,0,1
0,1,0,72,1,1,0,0,0,0,0,0,1,23.55,1723.95,0,2,0,2,0.0136986301369863,2,1723.95,0.013652569639699701,0.32260273972602743,1700.3342465753424,0,144,2
0,0,0,1,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0,0,1,0.5,1,19.75,0.9518072289156626,9.875,9.875,0,0,0
1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,1,1,0,0.013888888888888888,4,3985.35,0.014160823811255913,0.7840277777777778,3929.9979166666667,1,71,1
0,0,0,13,1,1,0,0,0,0,0,1,1,85.95,1215.65,0,0,2,0,0.07142857142857142,3,1215.65,0.07064480335347059,6.139285714285714,1128.8178571428573,0,0,1
0,1,1,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,0,1,3,0.038461538461538464,5,1502.65,0.03897183520101087,2.253846153846154,1444.8557692307693,0,0,2
0,0,0,67,1,0,0,0,0,1,0,0,0,50.55,3260.1,0,2,1,2,0.014705882352941176,2,3260.1,0.015500904602741407,0.7433823529411764,3212.1573529411767,0,134,1
0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,1,0,0.5,1,35.45,0.9725651577503429,17.725,17.725,0,0,1
0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0,1,0,0.3333333333333333,1,81.25,0.539209726443769,14.783333333333333,54.16666666666667,0,0,0
0,0,0,43,1,1,0,0,0,0,0,0,1,25.7,1188.2,0,2,0,3,0.022727272727272728,2,1188.2,0.02161116717120753,0.5840909090909091,1161.1954545454546,0,86,2
0,0,0,23,1,0,1,0,0,0,0,0,1,75.0,1778.5,0,0,2,2,0.041666666666666664,2,1778.5,0.04214667041303737,3.125,1704.3958333333335,0,0,2
0,1,1,64,1,0,0,0,0,0,0,0,0,20.2,1277.75,0,2,0,1,0.015384615384615385,1,1277.75,0.015796676441837732,0.31076923076923074,1258.0923076923077,0,128,0
0,0,1,57,1,0,0,0,0,0,0,0,1,19.6,1170.55,0,2,0,1,0.017241379310344827,1,1170.55,0.016729973112543213,0.33793103448275863,1150.3681034482759,0,114,1
1,1,0,1,1,0,0,0,0,0,0,0,1,70.45,70.45,1,0,2,1,0.5,1,70.45,0.9860041987403779,35.225,35.225,0,0,1
1,1,1,72,1,1,1,1,1,1,1,1,1,88.05,6425.65,0,2,1,3,0.0136986301369863,8,6425.65,0.013700761672099772,1.2061643835616438,6337.627397260273,1,144,2
0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0,1,0,0.1111111111111111,5,563.65,0.12600726113521651,7.905555555555556,501.0222222222222,0,0,0
0,1,0,61,1,1,0,1,0,0,1,1,1,101.05,5971.25,0,2,2,2,0.016129032258064516,5,5971.25,0.016919921302691616,1.6298387096774194,5874.939516129032,1,122,2
0,0,0,64,1,1,1,1,0,0,0,0,1,84.3,5289.05,0,1,2,3,0.015384615384615385,4,5289.05,0.015935577168457764,1.2969230769230768,5207.68,1,64,2
1,1,0,71,1,1,0,0,0,0,0,0,0,23.95,1756.2,0,2,0,2,0.013888888888888888,2,1756.2,0.013629638060550876,0.3326388888888889,1731.8083333333334,0,142,1
0,1,1,65,1,1,1,1,0,1,1,0,1,99.05,6416.7,0,2,2,3,0.015151515151515152,6,6416.7,0.015433878180656621,1.5007575757575757,6319.477272727273,1,130,2
0,0,0,3,1,0,0,0,0,0,0,0,0,19.6,61.35,0,1,0,1,0.25,1,61.35,0.3143544506816359,4.9,46.0125,0,3,0
0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,1,0,0.5,1,45.65,0.9785637727759914,22.825,22.825,0,0,1
0,0,1,30,1,0,0,1,1,0,1,0,0,64.5,1929.95,0,1,1,3,0.03225806451612903,4,1929.95,0.033403247106346616,2.0806451612903225,1867.6935483870968,0,30,1
0,1,1,15,1,0,0,1,1,1,0,1,1,69.5,1071.4,0,0,1,1,0.0625,5,1071.4,0.06480790749720253,4.34375,1004.4375000000001,0,0,1
0,1,1,8,1,0,0,0,0,1,1,1,1,68.55,564.35,0,0,1,0,0.1111111111111111,4,564.35,0.12125232157070841,7.616666666666666,501.64444444444445,0,0,1
0,0,0,7,1,1,0,0,0,0,1,1,0,95.0,655.5,1,0,2,1,0.125,4,655.5,0.1447067783701447,11.875,573.5625,0,0,0
0,1,1,70,1,1,1,1,1,0,1,1,1,108.15,7930.55,0,1,2,3,0.014084507042253521,7,7930.55,0.01363541804565312,1.5232394366197184,7818.852112676057,1,70,2
0,1,1,62,1,0,1,1,1,1,1,1,0,86.1,5215.25,0,2,1,0,0.015873015873015872,7,5215.25,0.01650611071171819,1.3666666666666665,5132.468253968254,1,124,0
0,1,1,6,1,0,0,0,0,0,0,0,0,19.7,113.5,0,0,0,1,0.14285714285714285,1,113.5,0.1720524017467249,2.814285714285714,97.28571428571429,0,0,0
